#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
MULTI_SEL_DESC;現在の選択から§GSHIFT + 左マウスボタン§Wで複数のユニットを選択します。;;;;;;;;;;;;x
SM_DETAILS;詳細;;;;;;;;;;;;x
DISBAND_ALL;選択した全ユニットを解隊します;;;;;;;;;;;;x
DISBAND_ALL_TITLE;全ユニットを解隊します;;;;;;;;;;;;x
DISBAND_ALL_DESC;§RDISBAND§W §Y$NUM$§Wユニットにしてもよろしいですか？;;;;;;;;;;;;x
DATE_DIFF_A;$Y$年、$M$月、$D$日;;;;;;;;;;;;x
DATE_DIFF_B;$M$月、$D$日;;;;;;;;;;;;x
DATE_DIFF_C;$D$日;;;;;;;;;;;;x
torpedo_attacks;魚雷攻撃;;;;;;;;;;;;x
TORPEDO_ATTACK;魚雷攻撃;;;;;;;;;;;;x
TORPEDO_ATTACK_DESC;魚雷攻撃は、より大きな艦であるほど余分の損害を与えます。;;;;;;;;;;;;x
NAVAL_COMBAT_STACK_PENALTY_DESC;§Y艦隊間の通信不足が原因による§R$PEN$%§Yペナルティ調整によって、我が国の船は目標を見つけるのがより困難になります。我が国の艦船数と目標の数によって影響されます。§W;;;;;;;;;;;;x
BP_TAB_CURRENT;現在の計画;;;;;;;;;;;;x
BP_TAB_HISTORICAL;歴史的な計画;;;;;;;;;;;;x
BP_TOOL_COLOR_RED;赤色;;;;;;;;;;;;x
BP_TOOL_COLOR_GREEN;緑色;;;;;;;;;;;;x
BP_TOOL_COLOR_BLUE;青色;;;;;;;;;;;;x
BP_TOOL_COLOR_YELLOW;黄色;;;;;;;;;;;;x
BP_TOOL_ARROW_SLIM;細い矢印;;;;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_1;矢印 1;;;;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_2;矢印 2;;;;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_3;矢印 3;;;;;;;;;;;;x
BP_TOOL_ARROW_THICK;太い矢印;;;;;;;;;;;;x
BP_TOOL_BORDER_1;境界線のタイプ 1;;;;;;;;;;;;x
BP_TOOL_BORDER_2;境界線のタイプ 2;;;;;;;;;;;;x
BP_TOOL_BORDER_3;境界線のタイプ 3;;;;;;;;;;;;x
BP_TOOL_BORDER_4;境界線のタイプ 4;;;;;;;;;;;;x
BP_TOOL_BORDER_5;境界線のタイプ 5;;;;;;;;;;;;x
BP_TOOL_ICON_AIRPLANE;飛行機アイコン;;;;;;;;;;;;x
BP_TOOL_ICON_TANK;戦車アイコン;;;;;;;;;;;;x
BP_TOOL_ICON_BOMB_1;小爆撃アイコン;;;;;;;;;;;;x
BP_TOOL_ICON_BOMB_2;大爆撃アイコン;;;;;;;;;;;;x
BP_SAVE_PLAN_CONFIRM;計画を保存;;;;;;;;;;;;x
BP_SAVE_PLAN_CANCEL;キャンセル;;;;;;;;;;;;x
BP_SAVE_PLAN_PROMPT;作戦計画は既に存在します！\n上書きしますか？;;;;;;;;;;;;x
BP_DELETE_SAVED_PLAN_PROMPT;保存された作戦計画を削除してもよろしいですか？;;;;;;;;;;;;x
BP_DELETE_CURRENT_PLAN_PROMPT;現在の作戦計画を削除してもよろしいですか？;;;;;;;;;;;;x
BP_SHARED_WITH;共有：;;;;;;;;;;;;x
BP_NEW_PLAN;新しい計画;;;;;;;;;;;;x
BP_TOOLTIP_TAB_CURRENT;現在の作戦計画リスト;;;;;;;;;;;;x
BP_TOOLTIP_TAB_HISTORICAL;歴史的な作戦計画のリスト。\n選択した作戦計画を現在のプランに追加するには§Yインポート§Wをクリックします。;;;;;;;;;;;;x
BP_TOOLTIP_TAB_SAVED;保存した作戦計画のリスト。\n選択した計画を現在の計画に追加するには§Yインポート§Wをクリックします。;;;;;;;;;;;;x
BP_TOOLTIP_NEW_PLAN;新しい計画を作る;;;;;;;;;;;;x
BP_TOOLTIP_REMOVE_PLAN;現在選択されている計画を削除します。;;;;;;;;;;;;x
BP_TOOLTIP_SHARE_PLAN;現在選択されている計画を§G同盟メンバー§Wと§Y共有する§Wかどうかを切り替えます。;;;;;;;;;;;;x
BP_TOOLTIP_SAVE_PLAN;現在選択されている計画をファイルに保存します。;;;;;;;;;;;;x
BP_TOOLTIP_RENAME_PLAN;現在選択されている計画の名前を変更します。;;;;;;;;;;;;x
BP_TOOLTIP_IMPORT_PLAN;選択した計画を現在の計画に追加します。;;;;;;;;;;;;x
BP_TOOLTIP_TOOL_SELECT;オブジェクトをクリックして選択します。;;;;;;;;;;;;x
BP_TOOLTIP_TOOL_ARROW;矢印のタイプを選択し、地図上に§Y左マウスボタン§Wで描画します。\n矢印を他の矢印に合わせるには、Shift + 左マウスボタンを押したままにします。;;;;;;;;;;;;x
BP_TOOLTIP_TOOL_BORDER;境界線タイプを選択し、左マウスボタンで地図に描画します。;;;;;;;;;;;;x
