#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
MIL_FROM_TROOPS;Soldiers & Army;;;;;;;;;;;;x
MIL_FROM_CAP_SHIPS;Capital Ships;;;;;;;;;;;;x
MIL_FROM_LEADERS;Leaders;;;;;;;;;;;;x
OCCUPATION_SCORE;Occupation: ;;;;;;;;;;;;x
BLOCKADE_SCORE;Blockade: ;;;;;;;;;;;;x
OUTLINER_TOOLTIP_EMPLOYED;§Y$COUNT$§! Employed in factories (§Y$PERC$§!%);;;;;;;;;;;;x
TRADE_SUPPLY_NEED_A;$VAL$ to supply army each day.\n;;;;;;;;;;;;x
TRADE_SUPPLY_NEED_N;$VAL$ to supply navy each day.\n;;;;;;;;;;;;x
DIPLOMACY_CANNOT_SET_PRIO_WAR;We cannot influence this nation while we have a war with them.;;;;;;;;;;;;x
DIPLOMACY_INFLUENCE_NOT_WORTH;We are already influencing this country at maximum, and there is no other country influencing it. No points are spent for now.;;;;;;;;;;;;x
COLONY_ABORT_HEADER;When our colonization has been aborted.;;;;;;;;;;;;x
COLONY_ABORT_1;Colonization Aborted!;;;;;;;;;;;;x
COLONY_ABORT_2;$MONARCHTITLE$, our colony in;;;;;;;;;;;;x
COLONY_ABORT_3;§Y$TARGET$§b.;;;;;;;;;;;;x
COLONY_ABORT_4;has been aborted!;;;;;;;;;;;;x
COLONY_ABORT_5;We can no longer colonize this region.;;;;;;;;;;;;x
COLONY_ABORT_6;*;;;;;;;;;;;;x
COLONY_ABORT_BTN1;OK;;;;;;;;;;;;x
COLONY_ABORT_BTN2;OK;;;;;;;;;;;;x
COLONY_ABORT_BTN3;移動;;;;;;;;;;;;x
COLONY_ABORT_MAP;Colony Aborted!;;;;;;;;;;;;x
COLONY_ABORT_SETUP;When colonization is aborted.;;;;;;;;;;;;x
COLONY_ABORT_LOG;Colonization of $TARGET$ has been aborted.;;;;;;;;;;;;x
DIPRELCH_VALID_CB;Valid Casus Belli;;;;;;;;;;;;x
BRIGADES_COMPARE_GREATER;Brigades comparison factor of two countries is at least §Y$VAL$§!;;;;;;;;;;;;x
BRIGADES_COMPARE_SMALLER;Brigades comparison factor of two countries is less than §Y$VAL$§!;;;;;;;;;;;;x
CONFIRM_CREATE_STATE_DESC2;(All local effects will be removed.);;;;;;;;;;;;x
UNIT_ENABLE_REBEL_HUNT;Hunt Rebels;;;;;;;;;;;;x
UNIT_DISABLE_REBEL_HUNT;(hunting rebels);;;;;;;;;;;;x
UNIT_REBEL_HUNT_WILL_HUNT;§GArmy is ready for rebel hunting.§!;;;;;;;;;;;;x
UNIT_REBEL_HUNT_IS_BUSY;§RArmy is currently busy, and will not hunt any rebels right now.§!;;;;;;;;;;;;x
UNIT_REBEL_HUNT_LOW_MORALE;§RArmy has too low morale, and will not hunt any rebels right now.§!;;;;;;;;;;;;x
UNIT_REBEL_HUNT_NO_VALID;§REnemy rebels has been detected, but our army will not attack them, because they are too strong for us, or couldn't find a safe path to get there.§!;;;;;;;;;;;;x
NOT_RELEASE_AT_WAR;§R(It is not possible to release nations when at war.)§W;;;;;;;;;;;;x
COLONY_SUCCESS_5;§Y$PRESTIGE$§! prestige gained.;;;;;;;;;;;;x
COLONY_SUCCESS_6;(Base value §Y$BASE$§! x §Y$PROV$§! provinces.);;;;;;;;;;;;x
COUNTRY_PUPPETS_LIST;Puppets: ;;;;;;;;;;;;x
POLL_ESTIMATED_ELECTION;In an election we estimate the following result.;;;;;;;;;;;;x
MODIFIER_MOVEMENT_COST;Troop Movement Cost;;;;;;;;;;;;x
SPEED_IMPACT_ON_CB;Speed of generation is changed by §Y$VAL$§W.;;;;;;;;;;;;x
TERR_COMB_WIDTH_DEC;Combat width is reduced by §Y$VAL$§W% in this terrain.;;;;;;;;;;;;x
MODIFIER_BOOST_STRONGEST_PARTY;Strength of Strongest Party;;;;;;;;;;;;x
PEACEDEMANDDESC;$COUNTRY$ is demanding a peace on the following terms:;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_SETUP;When our war justification process is no longer valid.;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_HEADER;$MONARCHTITLE$;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_1;War Justification;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_2;Our attempt to justify war using;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_3;§Y$CASUS$§! Casus Belli;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_4;against;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_5;$TARGET$;;;;;;;;;;;;x
CB_JUSTIFY_NO_LONGER_VALID_6;is no longer valid!;;;;;;;;;;;;x
