#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
GREAT_WARS_ENABLED_DESC;Great wars are discovered.;;;;;;;;;;;;x
GREAT_WARS_DISABLED_DESC;Great wars are undiscovered yet.;;;;;;;;;;;;x
GREAT_WARS_ENABLE_DESC;Wars can get the status of The Great Wars!;;;;;;;;;;;;x
GREAT_WAR_NAME;The $ORDER$Great War;;;;;;;;;;;;x
GW_DISCOVERED_SETUP;When the Great Wars are discovered.;;;;;;;;;;;;x
GW_DISCOVERED_HEADER;Great Wars discovered!;;;;;;;;;;;;x
GW_DISCOVERED_1;Great Wars discovered!;;;;;;;;;;;;x
GW_DISCOVERED_2;From now, each war that includes;;;;;;;;;;;;x
GW_DISCOVERED_3;at least two great countries;;;;;;;;;;;;x
GW_DISCOVERED_4;on each side, will get the status of;;;;;;;;;;;;x
GW_DISCOVERED_5;§YThe Great War§!.;;;;;;;;;;;;x
GW_DISCOVERED_6;*;;;;;;;;;;;;x
GW_DISCOVERED_BTN1;OK;;;;;;;;;;;;x
GW_DISCOVERED_BTN2;OK;;;;;;;;;;;;x
GW_DISCOVERED_BTN3;移動;;;;;;;;;;;;x
GW_DISCOVERED_LOG;Great Wars discovered;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_SETUP;When our war gains the Great war status.;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_HEADER;Great War!;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_1;$WAR$;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_2;becomes;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_3;§YThe Great War§!.;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_4;*;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_5;*;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_6;*;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN1;OK;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN2;OK;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN3;移動;;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_LOG;$WAR$ becomes §YThe Great War§!;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_SETUP;When our war lost the Great war status.;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_HEADER;No longer a Great War!;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_1;$WAR$;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_2;is no longer;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_3;The Great War.;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_4;*;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_5;*;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_6;*;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_BTN1;OK;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_BTN2;OK;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_BTN3;移動;;;;;;;;;;;;x
WAR_LOST_GW_STATUS_LOG;$WAR$ is no longer §YThe Great War§!;;;;;;;;;;;;x
GW_INTERVENE_MIN_RELATIONS;Our relations with §Y$TARGET$§! must be at least §G$MIN$§!. Currently it is §Y$VAL$§!.;;;;;;;;;;;;x
