#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
KEYNAME;テキスト;;;;;;;;;;;;x
news1;$TAG_2_0$政府、「$STRING_0_1$」の条件で和平を提案;;;;;;;;;;;;x
battle_we_win_title_large;$STRING_0_3$で栄光の勝利！;;;;;;;;;;;;x
battle_we_win_large;$DATE_LONG_0$年、比類なき我が軍は、$STRING_0_3$の戦いで、またも勝利した！勇猛なる我らが$VALUE_INT_0_1$人は$VALUE_INT_0_3$名の$TAG_0_3$軍に損害を与えた。大胆不敵な我らが部隊は$VALUE_INT_0_2$人を失うも、$TAG_0_3$の悪党$VALUE_INT_0_4$名以上を戦死させ、当地は我が国の手に委ねられた。無様に敗北した$TAG_0_3$は、すぐに和平条件を模索せねばならないだろう！;;;;;;;;;;;;x
battle_we_win_title_medium;$STRING_0_3$で勝利！;;;;;;;;;;;;x
battle_we_win_medium;$DATE_LONG_0$年、我々は$STRING_0_3$で$VALUE_INT_0_3$$TAG_0_3_ADJ$軍を撃破した。代償として$VALUE_INT_0_2$人の人命が失われた。;;;;;;;;;;;;x
battle_we_win_title_small;勝利！;;;;;;;;;;;;x
battle_we_win_small;$DATE_LONG_0$年、我々は$STRING_0_3$で$VALUE_INT_0_3$$TAG_0_3_ADJ$軍を撃破した。;;;;;;;;;;;;x
battle_we_lose_title_large;軍事的不手際が$STRING_0_3$の惨事に！;;;;;;;;;;;;x
battle_we_lose_large;$DATE_LONG_0$年、驚くことに我が国の無能な最高司令部によって、$VALUE_INT_0_4$人もの勇敢な兵士が$STRING_0_3$で$TAG_0_2$軍に全滅させられてしまった。$VALUE_INT_0_3$人の優秀なる部隊は$VALUE_INT1$名からなる$TAG_0_2$軍に遭遇した。劣悪な命令や敵による手に負えない戦術にもかかわらず、どうにか敵軍に$VALUE_INT_0_2$名の犠牲を負わせることはできた。当新聞社は、最高司令部がこの戦争で取っている方針に対する重大な懸念を表明し、政府に対し手遅れになる前に修正のための措置を講じるよう強く要請する！;;;;;;;;;;;;x
battle_we_lose_title_medium;$STRING_0_3$で敗北;;;;;;;;;;;;x
battle_we_lose_medium;$DATE_LONG_0$年、我が国は$STRING_0_3$の戦いに敗北、$VALUE_INT_0_4$人を失い、当地は$TAG_0_2$の支配下に置かれた。;;;;;;;;;;;;x
battle_we_lose_title_small;$STRING_0_3$の惨事;;;;;;;;;;;;x
battle_we_lose_small;$DATE_LONG_0$年、我が国は$STRING_0_3$の戦いに敗北、$VALUE_INT_0_4$人を失い、当地は$TAG_0_2$の支配下に置かれた。;;;;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0$が降伏！;;;;;;;;;;;;x
gwar_we_win_large_desc;$DATE_LONG_1$年、$TAG_0_0$・$TAG_1_0$間の大戦は栄光の勝利に終わった。$STRING_0_0$として知られるこの戦争は、「$STRING_9_0$」をめぐって$DATE_SHORT_0$日から激化し、「$STRINGS_LIST_4$」で終結した。;;;;;;;;;;;;x
gwar_we_win_medium_title;勝利！ 停戦合意！;;;;;;;;;;;;x
gwar_we_win_medium_desc;$DATE_LONG_1$年、$TAG_0_0$・$TAG_1_0$間の大戦は栄光の勝利に終わった。$STRING_0_0$として知られるこの戦争は、「$STRING_9_0$」をめぐって$DATE_SHORT_0$日から激化した。;;;;;;;;;;;;x
gwar_we_win_small_title;$TAG_3_0$に勝利！;;;;;;;;;;;;x
gwar_we_win_small_desc;$STRING_0_0$は$TAG_3_0$の敗北によって終結。;;;;;;;;;;;;x
gwar_we_lose_large_title;屈辱の日。 $TAG_2_0$と和平合意！;;;;;;;;;;;;x
gwar_we_lose_large_desc;$DATE_LONG_1$年、$TAG_2_0$との大戦は我が国の屈辱的敗北で終わった。$STRING_0_0$として知られるこの戦争は、「$STRING_9_0$」をめぐって$DATE_SHORT_0$日から激化し、「$STRINGS_LIST_4$」で終結した。;;;;;;;;;;;;x
gwar_we_lose_medium_title;$TAG_2_0$との和平！;;;;;;;;;;;;x
gwar_we_lose_medium_desc;$DATE_LONG_1$年、$TAG_0_0$・$TAG_1_0$間の大戦は、我が国の屈辱的敗北で終わった。$STRING_0_0$として知られるこの戦争は、「$STRING_9_0$」をめぐって$DATE_SHORT_0$日から激化した。;;;;;;;;;;;;x
gwar_we_lose_small_title;$TAG_2_0$との和平！;;;;;;;;;;;;x
gwar_we_lose_small_desc;$STRING_0_0$は$TAG_2_0$の手により我が国の敗北で終わった。;;;;;;;;;;;;x
war_we_win_large_title;$TAG_3_0$が降伏！ 停戦合意;;;;;;;;;;;;x
war_we_win_large_desc;$DATE_LONG_1$年、$TAG_0_0$・$TAG_1_0$間の戦争は栄光の勝利に終わった。$STRING_0_0$として知られるこの戦争は、「$STRING_9_0$」をめぐって$DATE_SHORT_0$日から激化し、「$STRINGS_LIST_4$」で終結した。;;;;;;;;;;;;x
war_we_win_medium_title;勝利！ 停戦合意！;;;;;;;;;;;;x
war_we_win_medium_desc;$DATE_LONG_1$年、$TAG_0_0$・$TAG_1_0$間の戦争は栄光の勝利に終わった。$STRING_0_0$として知られるこの戦争は、「$STRING_9_0$」をめぐって$DATE_SHORT_0$日から激化した。;;;;;;;;;;;;x
war_we_win_small_title;$TAG_3_0$に勝利！;;;;;;;;;;;;x
war_we_win_small_desc;$STRING_0_0$は$TAG_3_0$の敗北によって終結。;;;;;;;;;;;;x
war_we_lose_large_title;屈辱の日。 $TAG_2_0$と和平合意！;;;;;;;;;;;;x
