#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
EVTNAME5002;スタンレー・カップ;;;;;;;;;;;;x
EVTDESC5002;Lord Stanley of Preston was very intrigued by ice hockey as he became Governor-General of the Dominion. Originally inscribed the Dominion Hockey Challenge Cup, the trophy was donated in 1892 by him, as an award for Canada's top-ranking amateur ice hockey club. ;;;;;;;;;;;;x
EVTOPTA5002;This might become popular...;;;;;;;;;;;;x
EVTNAME5001;サッカーワールドカップ;;;;;;;;;;;;x
EVTDESC5001;Uruguay have just hosted the first World Cup of Football, which was a stellar success. Even though not many countries managed to travel here from Europe, there were still great football played. And what was most important of all, Uruguay won the final 4-2 over Argentina!;;;;;;;;;;;;x
EVTOPTA5001;ウルグアイに栄光あれ！;;;;;;;;;;;;x
EVTNAME5000;First FA Cup Played;;;;;;;;;;;;x
EVTDESC5000;In a hard fought thrilling game, the first FA cup was today played at the Kensington Oval in London. In a surprise result, the $PROVINCENAME$ Albion won with 1-0 over Queens Park. The Spiders showed a lot of sportsmanship during the game, but eventually lost to a goal by Alfred Goodwyn in the second half.;;;;;;;;;;;;x
EVTOPTA5000;The Poor might enjoy it!;;;;;;;;;;;;x
DEFINE_ADMIRAL_EFFECT;Gain the service of §YAdmiral $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;;;;x
DEFINE_GENERAL_EFFECT;Gain the service of §YGeneral $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;;;;x
DO_NOT_HAVE_TECH_TRI;Have NOT invented §Y$TECH$§W.\n;;;;;;;;;;;;x
HAVE_TECH_TRI;Have invented §Y$TECH$§W.\n;;;;;;;;;;;;x
NO_RAIL_YET;We can not encourage rail road building when we do not know how to build them yet.;;;;;;;;;;;;x
NOT_DISC_THESE_YET;We can not encourage industries that have not yet been invented.;;;;;;;;;;;;x
WAR_WE_ACCEPT_HEADER;外務大臣からの報告;;;;;;;;;;;;x
WAR_WE_ACCEPT_1;戦争だ！;;;;;;;;;;;;x
WAR_WE_ACCEPT_2;$MONARCHTITLE$、$BADWORD$な;;;;;;;;;;;;x
WAR_WE_ACCEPT_3;$AGRESSOR$は我々に宣戦布告しました！;;;;;;;;;;;;x
WAR_WE_ACCEPT_4;戦いに備えなければ…;;;;;;;;;;;;x
WAR_WE_ACCEPT_5;*;;;;;;;;;;;;x
WAR_WE_ACCEPT_6;*;;;;;;;;;;;;x
WAR_WE_ACCEPT_LOG;$AGRESSOR$ declared war on us!;;;;;;;;;;;;x
WAR_WE_ACCEPT_BTN1;OK;;;;;;;;;;;;x
WAR_WE_ACCEPT_BTN2;OK;;;;;;;;;;;;x
WAR_WE_ACCEPT_BTN3;移動;;;;;;;;;;;;x
